station_uid,max_electric_power,max_voltage,power_type_id,plug_type_id,plug_format_id,type,format
44e82f4a-aa7f-4829-a526-3e136098cafa,62500,500,3,21,2,COMBO,CABLE
736d4894-54ee-4d77-8643-0d5a76636bd7,300000,600,3,21,2,COMBO,CABLE
5b669383-f850-4f20-98f2-4c3be6cb0ff9,300000,600,3,21,2,COMBO,CABLE
f92e98a8-5f44-41f6-ba5f-b8042dd5ba40,300000,600,3,21,2,COMBO,CABLE
b8a5f54b-5398-43ef-91ef-e6a4f12df3f1,62500,500,3,21,2,COMBO,CABLE
332fb966-61ac-4255-b732-c249ecd38d95,300000,600,3,21,2,COMBO,CABLE
f5c9c7ab-18e6-4ce6-b5a2-46c7879c1e87,300000,600,3,21,2,COMBO,CABLE
17078ecd-a491-41ea-a36e-30de2473a0f8,300000,600,3,21,2,COMBO,CABLE
d871cef2-619c-4ce3-9075-89b4ff3de4fa,62500,500,3,1,2,CHADEMO,CABLE
de2b60cd-5cca-490e-8c24-17d35d48589d,62500,500,3,21,2,COMBO,CABLE
9776eb41-9a99-487d-a93b-7b15ba7b882c,300000,600,3,21,2,COMBO,CABLE
c3d55b7c-9620-4ab7-b8cd-032e48c1aad0,62500,500,3,21,2,COMBO,CABLE
b1389e96-522c-4a24-8d7b-70b5ac0344a8,62500,500,3,1,2,CHADEMO,CABLE
78fea4e9-e73e-4b4d-a91c-2ba41535170e,300000,600,3,21,2,COMBO,CABLE
a3df8fa3-f6c2-4c05-a39c-4d1717fbd936,300000,600,3,21,2,COMBO,CABLE
2996c67d-c7b2-4bf3-97a0-689413d45df6,300000,600,3,21,2,COMBO,CABLE
bb4bd001-f9dc-4622-bd0a-6f798c44bed5,62500,500,3,21,2,COMBO,CABLE
964dde82-9764-4a3e-8094-c09361ba2ca8,300000,600,3,21,2,COMBO,CABLE
8658f348-32f2-45ac-b663-1201b905a929,62500,500,3,1,2,CHADEMO,CABLE
d7b31715-d693-441a-b7e1-ea92e482e321,300000,600,3,21,2,COMBO,CABLE
973b3888-166b-4c57-bc72-415d4c2d59f6,300000,600,3,21,2,COMBO,CABLE
fc57035a-11d6-4959-83d5-801a68107a45,300000,600,3,21,2,COMBO,CABLE
7e069df0-df2a-4ae7-991e-1c9246c3be33,300000,600,3,21,2,COMBO,CABLE
773c5c06-2dbe-4532-90d7-6699979ae186,300000,600,3,21,2,COMBO,CABLE
67432210-e1a7-4740-8cb9-3982bbc631c2,300000,600,3,21,2,COMBO,CABLE
0b8ad57c-e637-41c7-8392-04a074db3dbe,300000,600,3,21,2,COMBO,CABLE
b878b57b-dcb4-4a0b-b3d3-c16acf5c43de,62500,500,3,1,2,CHADEMO,CABLE
64a2d785-0746-4558-838c-5434767b4b5d,300000,600,3,21,2,COMBO,CABLE
bae9b486-e641-4414-b4e8-f3184c3f4a62,200000,400,3,21,2,COMBO,CABLE
5c3b719c-7fcc-49de-8770-e888ec55480d,300000,600,3,21,2,COMBO,CABLE
8adb121c-3a64-4c5a-87e9-11e4eeea87fc,300000,600,3,21,2,COMBO,CABLE
9857530a-4f47-4054-bb0d-0cf44e45a1eb,62500,500,3,1,2,CHADEMO,CABLE
675042f8-8a66-452c-a818-9ad4711a8477,62500,500,3,1,2,CHADEMO,CABLE
cae54f5f-40ee-4629-b8f6-f33c15d2155c,62500,500,3,1,2,CHADEMO,CABLE
fdfa96ee-621f-4fc3-b9e8-3aed34e2d3d0,300000,600,3,21,2,COMBO,CABLE
5259b156-566b-4c62-8388-a2e85bfbb527,62500,500,3,1,2,CHADEMO,CABLE
8e508893-7231-4766-8fe1-e09948173e9c,62500,500,3,1,2,CHADEMO,CABLE
1de55877-720d-4b98-bb8a-b8bf18b37449,62500,500,3,21,2,COMBO,CABLE
61c3a1c4-aadf-42c9-96c4-26f72ff23e42,300000,600,3,21,2,COMBO,CABLE
e905d286-9e74-4bfa-9ec0-866241350ce8,300000,600,3,21,2,COMBO,CABLE
a1410538-7d6a-4d52-87c0-3811f40f6572,300000,600,3,21,2,COMBO,CABLE
0da21b1b-7a18-46dc-8be6-3d2f407eab13,300000,600,3,21,2,COMBO,CABLE
274fe9cb-02cf-4aa5-8f86-9eaddc6fb737,62500,500,3,21,2,COMBO,CABLE
32652c8f-70f1-45ba-bde2-1370347722a6,62500,500,3,1,2,CHADEMO,CABLE
691ed835-a247-469b-a008-1af1c67a7a98,62500,500,3,1,2,CHADEMO,CABLE
da40f985-8666-43d8-a1f4-4db8bd9b0081,62500,500,3,1,2,CHADEMO,CABLE
34ff9bef-c9f6-40ce-8672-08dd184238d9,62500,500,3,1,2,CHADEMO,CABLE
73407bd7-e352-461f-9258-fff3a2ce6837,62500,500,3,21,2,COMBO,CABLE
8c3653d9-6e70-4597-8e62-467d80293e5d,300000,600,3,21,2,COMBO,CABLE
86f7c7f2-453c-4b3f-a3dd-cd103b997526,62500,500,3,1,2,CHADEMO,CABLE
e303e699-58fe-4975-8388-b8535b8bdb81,62500,500,3,21,2,COMBO,CABLE
bfb4e9d1-53c5-42d9-b17e-41ab01d91b1f,300000,600,3,21,2,COMBO,CABLE
bf68dd0d-ccfe-45ee-9ce8-6a26ee31413d,62500,500,3,21,2,COMBO,CABLE
